episode,reward,steps,eval_reward,outcome,prey_population,predator_population,avg_prey_energy,avg_predator_energy,coexistence_score
234,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
235,-2.2699999999999956,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
236,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
237,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
238,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
239,-2.3199999999999945,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
240,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
241,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
242,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
243,-2.2199999999999966,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
244,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
245,-2.199999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
246,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
247,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
248,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.63999999999999,0.0,0.0
249,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
250,30.689999999999987,101,0.0,PREDATOR_WIN,0,1,0.0,73.58000000000004,0.0
251,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
252,-2.249999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
253,-2.1799999999999975,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
254,28.757499999999915,109,0.0,PREDATOR_WIN,0,1,0.0,64.7675000000001,0.0
255,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
256,31.29,71,0.0,PREDATOR_WIN,0,1,0.0,81.08000000000001,0.0
257,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
258,-2.5499999999999896,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
259,-2.53999999999999,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
260,-2.149999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
261,-2.579999999999989,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
262,-2.289999999999995,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
263,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
264,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
265,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
266,-2.1799999999999975,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
267,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
268,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
269,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
270,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
271,-2.259999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
272,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
273,-2.6399999999999877,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
274,-2.6899999999999866,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
275,-2.2699999999999956,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
276,-2.4099999999999926,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
277,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
278,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
279,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
280,-2.209999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
281,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
282,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
283,-2.3599999999999937,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
284,-2.3099999999999947,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
285,-2.429999999999992,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
286,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
287,-2.6899999999999866,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
288,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
289,-2.199999999999997,350,0.0,PREY_WIN,1,0,99.72999999999999,0.0,0.0
290,-2.1199999999999988,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
291,-2.159999999999998,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
292,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
293,-2.2799999999999954,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
294,-2.2299999999999964,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
295,-2.3599999999999937,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
296,-2.1699999999999977,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
297,-2.3099999999999947,350,0.0,PREY_WIN,1,0,99.06999999999996,0.0,0.0
298,-2.339999999999994,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
299,-2.289999999999995,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
300,31.862499999999994,4,0.0,PREDATOR_WIN,0,1,0.0,100.0,0.0
301,-2.2299999999999964,350,0.0,PREY_WIN,1,0,99.88,0.0,0.0
302,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
303,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
304,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
305,-2.9199999999999817,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
306,-2.209999999999997,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
307,-2.1899999999999973,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
308,-2.239999999999996,350,0.0,PREY_WIN,1,0,100.0,0.0,0.0
